Index,att1,att2,att3,att4,att5,att6,att7,att8,att9,att10,att11,att12,att13,att14,att15,att16,id,outlier
0,82.0,100.0,49.0,85.0,19.0,61.0,0.0,34.0,51.0,36.0,100.0,51.0,81.0,27.0,69.0,0.0,3503.0,1
1,26.0,100.0,0.0,83.0,23.0,51.0,83.0,42.0,100.0,55.0,79.0,84.0,56.0,42.0,37.0,0.0,3895.0,1
2,15.0,100.0,1.0,82.0,0.0,63.0,18.0,47.0,45.0,37.0,75.0,31.0,99.0,18.0,100.0,0.0,10513.0,1
3,62.0,100.0,38.0,71.0,0.0,46.0,6.0,41.0,58.0,33.0,100.0,52.0,83.0,34.0,72.0,0.0,5349.0,1
4,51.0,82.0,100.0,100.0,54.0,76.0,0.0,54.0,8.0,32.0,84.0,45.0,49.0,25.0,27.0,0.0,7935.0,1
5,29.0,100.0,15.0,94.0,0.0,56.0,66.0,47.0,100.0,58.0,59.0,84.0,43.0,43.0,36.0,0.0,10315.0,1
6,71.0,100.0,39.0,87.0,11.0,63.0,0.0,37.0,42.0,25.0,100.0,37.0,74.0,24.0,53.0,0.0,4212.0,1
7,16.0,100.0,9.0,84.0,0.0,59.0,30.0,40.0,86.0,49.0,100.0,47.0,75.0,24.0,63.0,0.0,1030.0,1
8,36.0,100.0,3.0,88.0,0.0,64.0,54.0,55.0,100.0,67.0,73.0,45.0,46.0,23.0,29.0,0.0,7644.0,1
9,21.0,100.0,0.0,68.0,18.0,44.0,70.0,45.0,100.0,54.0,69.0,70.0,68.0,34.0,65.0,0.0,6120.0,1
10,19.0,100.0,35.0,93.0,0.0,63.0,12.0,36.0,89.0,37.0,100.0,66.0,94.0,33.0,89.0,0.0,7523.0,1
11,25.0,95.0,0.0,69.0,10.0,34.0,92.0,37.0,100.0,69.0,62.0,100.0,69.0,50.0,70.0,0.0,6862.0,1
12,34.0,100.0,24.0,70.0,0.0,41.0,27.0,26.0,86.0,27.0,100.0,51.0,98.0,31.0,97.0,0.0,3632.0,1
13,38.0,100.0,24.0,68.0,0.0,35.0,71.0,40.0,100.0,60.0,96.0,50.0,95.0,15.0,100.0,0.0,10833.0,1
14,92.0,100.0,50.0,79.0,20.0,56.0,0.0,34.0,56.0,22.0,100.0,41.0,66.0,23.0,50.0,0.0,6311.0,1
15,25.0,100.0,0.0,76.0,11.0,45.0,79.0,46.0,100.0,73.0,86.0,70.0,79.0,35.0,70.0,0.0,2955.0,1
16,43.0,100.0,30.0,82.0,5.0,53.0,0.0,27.0,52.0,39.0,100.0,57.0,83.0,29.0,72.0,0.0,7462.0,1
17,69.0,100.0,24.0,81.0,0.0,50.0,47.0,36.0,100.0,60.0,80.0,60.0,39.0,32.0,25.0,0.0,10279.0,1
18,39.0,100.0,5.0,79.0,0.0,47.0,55.0,42.0,100.0,64.0,80.0,60.0,52.0,30.0,28.0,0.0,1062.0,1
19,41.0,100.0,1.0,61.0,0.0,33.0,67.0,36.0,100.0,46.0,85.0,91.0,64.0,46.0,43.0,0.0,7390.0,1
20,47.0,100.0,27.0,81.0,57.0,37.0,26.0,0.0,0.0,23.0,56.0,53.0,100.0,90.0,40.0,98.0,1.0,0
21,0.0,89.0,27.0,100.0,42.0,75.0,29.0,45.0,15.0,15.0,37.0,0.0,69.0,2.0,100.0,6.0,2.0,0
22,0.0,57.0,31.0,68.0,72.0,90.0,100.0,100.0,76.0,75.0,50.0,51.0,28.0,25.0,16.0,0.0,3.0,0
23,0.0,67.0,49.0,83.0,100.0,100.0,81.0,80.0,60.0,60.0,40.0,40.0,33.0,20.0,47.0,0.0,5.0,0
24,100.0,100.0,88.0,99.0,49.0,74.0,17.0,47.0,0.0,16.0,37.0,0.0,73.0,16.0,20.0,20.0,6.0,0
25,0.0,39.0,2.0,62.0,11.0,5.0,63.0,0.0,100.0,43.0,89.0,99.0,36.0,100.0,0.0,57.0,8.0,0
